time,In_TB,Out_TB,Total_TB,In,Out,Total,In_MB,Out_MB,Total_MB
2017-06-27,7.086,17.818,24.904,7085.931,17818.364,24904.295,7085931.0,17818364.0,24904295.0
2017-06-28,7.091,17.82,24.911,7091.09,17819.76,24910.85,7091090.0,17819760.0,24910850.0
2017-06-29,7.091,17.824,24.916,7091.499,17824.057,24915.556,7091499.0,17824057.0,24915556.0
2017-06-30,7.092,17.826,24.918,7091.848,17825.793,24917.641,7091848.0,17825793.0,24917641.0
2017-07-03,7.099,17.845,24.943,7098.75,17844.595,24943.346,7098750.0,17844595.0,24943346.0
2017-07-04,7.099,17.849,24.948,7099.32,17848.906,24948.226,7099320.0,17848906.0,24948226.0
2017-07-05,7.1,17.86,24.96,7099.878,17859.88,24959.757,7099878.0,17859880.0,24959757.0
2017-07-09,7.106,17.889,24.995,7105.868,17889.063,24994.931,7105868.0,17889063.0,24994931.0
2017-07-10,7.106,17.897,25.004,7106.254,17897.377,25003.631,7106254.0,17897377.0,25003631.0
2017-07-11,7.107,17.901,25.008,7106.636,17900.918,25007.554,7106636.0,17900918.0,25007554.0
2017-07-12,7.107,17.904,25.011,7106.988,17903.77,25010.758,7106988.0,17903770.0,25010758.0
2017-07-13,7.107,17.906,25.013,7107.411,17905.861,25013.272,7107411.0,17905861.0,25013272.0
2017-07-14,7.108,17.911,25.019,7107.915,17911.492,25019.407,7107915.0,17911492.0,25019407.0
2017-07-15,7.109,17.914,25.023,7108.601,17914.152,25022.752,7108601.0,17914152.0,25022752.0
2017-07-16,7.109,17.921,25.03,7108.988,17920.536,25029.524,7108988.0,17920536.0,25029524.0
2017-07-17,7.109,17.925,25.034,7109.487,17924.879,25034.366,7109487.0,17924879.0,25034366.0
2017-07-18,7.11,17.929,25.039,7109.765,17929.365,25039.131,7109765.0,17929365.0,25039131.0
2017-07-20,7.111,17.934,25.045,7110.696,17934.029,25044.725,7110696.0,17934029.0,25044725.0
2017-07-21,7.111,17.939,25.05,7111.028,17939.066,25050.094,7111028.0,17939066.0,25050094.0
2017-07-22,7.111,17.943,25.054,7111.332,17942.552,25053.883,7111332.0,17942552.0,25053883.0
2017-07-23,7.112,17.947,25.059,7111.638,17947.476,25059.114,7111638.0,17947476.0,25059114.0
2017-07-24,7.112,17.959,25.071,7112.076,17959.034,25071.111,7112076.0,17959034.0,25071111.0
2017-07-25,7.112,17.968,25.081,7112.449,17968.193,25080.641,7112449.0,17968193.0,25080641.0
2017-07-27,7.113,17.986,25.1,7113.266,17986.277,25099.543,7113266.0,17986277.0,25099543.0
2017-07-28,7.114,18.001,25.115,7113.797,18000.828,25114.625,7113797.0,18000828.0,25114625.0
2017-07-29,7.114,18.008,25.122,7114.116,18007.818,25121.934,7114116.0,18007818.0,25121934.0
2017-07-30,7.119,18.045,25.164,7118.85,18045.229,25164.079,7118850.0,18045229.0,25164079.0
2017-07-31,7.119,18.052,25.171,7119.247,18052.176,25171.424,7119247.0,18052176.0,25171424.0
2017-08-01,7.12,18.058,25.178,7119.561,18057.993,25177.555,7119561.0,18057993.0,25177555.0
2017-08-02,7.12,18.061,25.181,7119.888,18061.464,25181.352,7119888.0,18061464.0,25181352.0
2017-08-04,7.121,18.07,25.191,7120.573,18070.259,25190.832,7120573.0,18070259.0,25190832.0
2017-08-06,7.121,18.083,25.205,7121.417,18083.215,25204.632,7121417.0,18083215.0,25204632.0
2017-08-07,7.122,18.09,25.212,7122.297,18089.863,25212.16,7122297.0,18089863.0,25212160.0
2017-08-09,7.123,18.1,25.224,7123.213,18100.432,25223.645,7123213.0,18100432.0,25223645.0
2017-08-10,7.125,18.105,25.23,7124.615,18104.964,25229.579,7124615.0,18104964.0,25229579.0
2017-08-11,7.126,18.118,25.245,7126.235,18118.293,25244.528,7126235.0,18118293.0,25244528.0
2017-08-12,7.127,18.128,25.254,7126.851,18127.593,25254.445,7126851.0,18127593.0,25254445.0
2017-08-13,7.127,18.141,25.269,7127.367,18141.254,25268.621,7127367.0,18141254.0,25268621.0
2017-08-14,7.128,18.148,25.276,7128.217,18147.608,25275.824,7128217.0,18147608.0,25275824.0
2017-08-15,7.129,18.154,25.283,7129.056,18153.915,25282.97,7129056.0,18153915.0,25282970.0
2017-08-16,7.133,18.16,25.293,7132.995,18160.053,25293.048,7132995.0,18160053.0,25293048.0
2017-08-18,7.11,17.926,25.036,7109.916,17926.102,25036.017,7109916.0,17926102.0,25036017.0
2017-08-21,7.114,17.941,25.055,7114.162,17941.242,25055.404,7114162.0,17941242.0,25055404.0
2017-08-22,7.114,17.946,25.06,7114.498,17945.986,25060.484,7114498.0,17945986.0,25060484.0
2017-08-23,7.115,17.954,25.069,7114.784,17953.721,25068.505,7114784.0,17953721.0,25068505.0
2017-08-24,7.115,17.957,25.072,7115.167,17956.797,25071.964,7115167.0,17956797.0,25071964.0
2017-08-25,7.116,17.969,25.085,7115.954,17969.313,25085.268,7115954.0,17969313.0,25085268.0
2017-08-28,7.12,17.994,25.114,7119.774,17994.38,25114.154,7119774.0,17994380.0,25114154.0
2017-08-29,7.12,17.996,25.116,7120.008,17996.252,25116.26,7120008.0,17996252.0,25116260.0
2017-08-30,7.12,17.998,25.118,7120.256,17998.19,25118.446,7120256.0,17998190.0,25118446.0
2017-08-31,7.121,17.999,25.12,7120.665,17999.284,25119.949,7120665.0,17999284.0,25119949.0
2017-09-01,7.122,18.006,25.128,7121.865,18006.256,25128.121,7121865.0,18006256.0,25128121.0
2017-09-03,7.124,18.017,25.141,7123.684,18017.315,25140.999,7123684.0,18017315.0,25140999.0
2017-09-04,7.124,18.021,25.145,7124.016,18021.035,25145.051,7124016.0,18021035.0,25145051.0
